"title","link","text"
"雨勢加劇 8縣市升級為豪雨特報","/news/story/7266/3356399","中央氣象局今天下午將北北基和高屏的大雨特報提升為豪雨特報，其他12縣市維持大雨特報。 圖／氣象局分享  facebook   
對流雲系發展旺盛，由於雨勢加劇，中央氣象局今天下午將台北市、新北市、基隆市、雲林縣、南投縣和嘉義縣山區、高雄市、屏東縣大雨特報提升為豪雨特報。
中央氣象局表示，今天台北市、新北市、基隆市、高雄市及屏東縣有局部大雨或豪雨發生機率，宜蘭、南投、嘉義以南、台東地區及各地山區有局部大雨發生的機率，請注意雷擊及強陣風，山區請慎防坍方、落石及溪水暴漲。

豪雨特報縣市包括：台北市、新北市、基隆市、高雄市和屏東縣；大雨特報縣市包括：宜蘭縣、桃園市、新竹縣、苗栗縣、台中市、南投縣、雲林縣、嘉義縣、嘉義市、台南市、花蓮縣和台東縣。

根據中央氣象局觀測，截至今天下午4時10分，新北市汐止區、宜蘭縣大同鄉、台北市士林區、新北市萬里區、屏東縣九如鄉和高樹鄉時雨量都已經超過50毫米；截至今天下午4時40分，台北市士林區溪山累積時雨量已經超過100毫米，新北市汐止區五指山也有95毫米，屏東縣九如鄉、新園也都超過50毫米，降雨持續中。


"
"亞培下架可改喝什麼？ 營養師公會列舉這些產品","/news/story/7266/3356419","亞培「安素」變質事件愈演愈烈，因業者提不出安全證明，食藥署下令六款有變質疑慮的亞培產品於昨天下午五點後預防性下架，四十八小時內須全面下架。 圖╱台北市衛生局提供分享  facebook   
美商亞培公司販售的特殊營養品因變質問題，主管機關勒令預防性下架，受影響的6項產品包括亞培安素（原味）、普寧勝、腎補納、管灌安素、健力體和愛美力HN等。為避免長期選用上述產品的病人一時不知所措，中華民國營養師公會全聯會列舉可替代產品、製成表格，供民眾參考。
營養師公會全聯會表示，醫院內有營養部門，營養部門皆在主管機關公告後48小時內，將病人治療餐與管灌飲食，改採自製的天然管灌配方或其他廠牌的配方，可確保病人的飲食安全無虞。
居家病人方面，營養師公會全聯會列舉可替代產品（如圖），供民眾參考。同時強調，若替換其他產品有任何疑慮，可諮詢營養師或醫師後再調整。
營養師公會全聯會也提醒民眾，在使用營養品前，若產品外包裝有凹罐、裂縫，或開罐後有凝塊、異味等現象發生時，建議別使用了。亞培預防性下架多項產品，中華民國營養師公會全聯會列舉替代配方。表／中華民國營養師公會全聯會提供分享  facebook   "
"變質事件愈演愈烈 亞培6產品全面下架","/news/story/7266/3355522","亞培「安素」變質事件愈演愈烈，因業者提不出安全證明，食藥署下令六款有變質疑慮的亞培產品於昨天下午五點後預防性下架，四十八小時內須全面下架。 圖╱台北市衛生局提供分享  facebook   


亞培「安素」變質發臭事件持續延燒，亞培公司昨證實，亞培原味安素等六款鐵罐產品確實有變質情形。食藥署經清查，發現這六款產品截至今年八月共收到六百廿九件客訴，且業者無法證明產品安全無虞，即起全台預防性下架。



前天亞培台灣分公司告知今年一到八月有關「原味安素」的投訴案僅六件，強調「少量」產品變質，在台北市衛生局介入調查後，意外揭發驚人數字，投訴案件涵蓋六款鐵罐產品、六百廿九件，其中「原味安素」並非六件，而是一九九件。因亞培提不出安全證明，食藥署昨下令這六款產品自昨天傍晚五點起下架，限時四十八小時，也就是九日下午五點前，仍在架上，將依法開罰三萬元以上、十萬元以下罰鍰。
分享  facebook   


除了市場上的陳列架以外，網路上販售的所有平台，也不准再販售，超過九日下午五點以後，仍販售六款產品，同樣依法開罰。



根據食藥署及台北市衛生局資料顯示，目前要求預防性下架的產品，包括「亞培原味安素」、「腎補納」、「普寧勝」、「管灌安素」、「健力體」及「愛美力 HN」等六項產品，今年國內共計進口兩百零九萬罐。

幾乎與「管灌」食品畫上等號的「亞培安素」，日前遭消費者爆料，生病後補充營養，連續三四年飲用亞培「原味安素」，最近卻喝到一罐變質的產品，不僅結塊，呈現固態豆花狀，還發出臭味，而有效期限為明年一月六日。



台北市衛生局連日調查，參議王明理表示，在調閱業者進口報單，並逐一核對客訴紀錄表，發現預防性下架的六項商品今年國內共計進口兩百零九萬罐，令人意外的是，今年一至八月該公司共受理六百廿九件客訴產品不安全事件，但業者僅向美國製造廠商通報，卻未向當地主管機關或中央主管機關通報。

食藥署食品組副組長魏任廷表示，依照食安法規定，業者若發現產品有衛生安全的疑慮，應主動通報衛生單位，若是已經發現問題，卻未通報，依法將可開罰三萬元以上、三百萬元以下罰鍰。

王明理表示，原本北市衛生局以為問題產品只有一款，直到亞培台灣分公司發出聲明，坦承共有六款產品收到客訴，官方才知還有其他產品疑似品質堪慮，進而要求亞培必須提供所有客訴資料，共六百廿九件。因業者提不出國外廠商驗證後的安全證明，食藥署與北市衛生局決議，六款有疑慮的產品將全面採取「預防性下架」。

魏任廷表示，北市衛生局第一時間也抽驗六款產品，檢驗結果將在下周四以前出爐，屆時即可釐清，業者是否販售變質、腐敗的食品給消費者，若有將可開罰最高兩億元。如果發現，業者知情不報，一樣重罰。"
"3縣市暴雨狂砸！ 氣象局發布大雷雨災防告警","/news/story/7266/3356447","北台灣降下暴雨。圖/氣象局提供分享  facebook   
北台灣降下暴雨。中央氣象局針對基隆、台北、新北發布雷雨編號0083，並針對大雷雨發布細胞廣播示警(PWS)，氣象局指出，大雷雨即時訊息，持續時間至 17 時 45 分，請慎防劇烈降雨、雷擊，溪(河)水暴漲，坍方、落石、土石流，低窪地區慎防淹水。
氣象局提醒，路面濕滑，步行與開車請注意安全。能見度低，請注意行車安全、減速慢行。請進入室內，遠離山頂、屋頂、涼亭、獨立樹下、溪流或水塘，位於空曠區域應蹲下降並盡量減少與地面接觸的面積。切勿在河流、溪澗或低窪地區逗留。避免從事水上活動，如釣魚、划船、游泳等。駕車人士如駛經高速公路或天橋，應提防強勁陣風吹襲。
分享  facebook   
【中央社／台北8日電】
對流雲系發展旺盛，由於雨勢加劇，中央氣象局今天下午將台北市、新北市、基隆市、雲林縣、南投縣和嘉義縣山區、高雄市、屏東縣大雨特報提升為豪雨特報。
中央氣象局表示，今天台北市、新北市、基隆市、高雄市及屏東縣有局部大雨或豪雨發生機率，宜蘭、南投、嘉義以南、台東地區及各地山區有局部大雨發生的機率，請注意雷擊及強陣風，山區請慎防坍方、落石及溪水暴漲。

豪雨特報縣市包括：台北市、新北市、基隆市、高雄市和屏東縣；大雨特報縣市包括：宜蘭縣、桃園市、新竹縣、苗栗縣、台中市、南投縣、雲林縣、嘉義縣、嘉義市、台南市、花蓮縣和台東縣。

根據中央氣象局觀測，截至今天下午4時10分，新北市汐止區、宜蘭縣大同鄉、台北市士林區、新北市萬里區、屏東縣九如鄉和高樹鄉時雨量都已經超過50毫米；截至今天下午4時40分，台北市士林區溪山累積時雨量已經超過100毫米，新北市汐止區五指山也有95毫米，屏東縣九如鄉、新園也都超過50毫米，降雨持續中。
北台灣降下暴雨。圖/氣象局提供分享  facebook   "
"暴雨下不停 北北基13行政區淹水一級警戒","/news/story/7266/3356531","三重重新橋銜接成功路出現積水。記者陳珮琦/攝影分享  facebook   
為因應目前豪大雨造成新北市市部份地區積水，新北市災害應變中心已提升為強化三級開設，汐止、三重等部分地區都出現道路積水，雨勢也未減弱。據最新發布的警訊通知，大雷雨將持續到晚間7點半，民眾請注意防範。
汐止樟江大橋橋面水流湍急如小溪，水高約小腿肚；中興路涵洞也積水至小腿肚，交通受阻。
三重重新橋銜接成功路外線車道也嚴重積水，許多機車騎士冒險通過，水花噴濺。


【中央社／台北8日電】
對流雲系發展旺盛，中央氣象局針對北北基等地區發布大雷雨即時訊息，水利署並對台北市大安區等7個行政區、新北市汐止區等6個行政區，發布淹水一級警戒。
中央氣象局今天下午5時57分，針對北北基地區發布大雷雨即時訊息，呼籲民眾慎防劇烈降雨、雷擊、9級以上強陣風，溪、河水暴漲，坍方、落石、土石流，低窪地區慎防淹水。而因路面濕滑，步行與開車請注意安全。
此外中央氣象局表示，由於大雨導致能見度低，請用路人注意行車安全、減速慢行。而為避免意外造成傷害，請民眾進入室內，遠離山頂、屋頂、涼亭、獨立樹下、溪流或水塘，位於空曠區域應蹲下降並盡量減少與地面接觸的面積，切勿在河流、溪澗或低窪地區逗留。
中央氣象局並對基隆市七堵區、暖暖區、仁愛區、中山區、安樂區、信義區；台北市松山區、信義區、大安區、中山區、中正區、大同區、萬華區、文山區、南港區、內湖區、士林區、北投區，新北市板橋區、三重區、中和區、永和區、新莊區、新店區、樹林區、汐止區、土城區、蘆洲區、五股區、泰山區、深坑區、石碇區、萬里區，以及桃園市龜山區發布廣播示警，持續時間至19時30分止。
另外，水利署在晚上6時30分左右，也針對台北市士林區、大安區、中正區、內湖區、信義區、南港區、萬華區，及新北市三重區、中和區、五股區、永和區、汐止區、蘆洲區發布淹水一級警戒，低窪地區及道路請特別注意防範積淹水。
列為淹水二級警戒的則包括台北市大同區、中山區、文山區、北投區、松山區及新北市板橋區、新莊區、基隆市七堵區。
一級淹水警戒的鄉、鎮、市、區持續降雨，其轄內易淹水村里及道路可能已經開始積淹水；淹水二級警戒是發布淹水警戒之鄉、鎮、市、區如持續降雨，其轄內易淹水村里及道路可能3小時內開始積淹水。三重重新橋銜接成功路出現積水。記者陳珮琦/攝影分享  facebook   "
"花蓮規模4.2地震 新北市、桃園、台中都有感","/news/story/7266/3356250","中央氣象局表示今天下午2時50分，在花蓮縣秀林鄉發生規模4.2的地震，地震深度24.2公里。各地最大震度為宜蘭縣南4級、花蓮縣和平也有3級。
氣象局指出，這起地震對各地帶來的有感震度，除宜、花，台中市梨山也有2級，花蓮市、南投合歡山、宜蘭市、新北市五分山、桃園市1級。中央氣象局表示今天下午2時50分，在花蓮縣秀林鄉發生規模4.2的地震。分享  facebook   "
"大雷雨下不停！ 氣象局警報再持續到8點半","/news/story/7266/3356605","中央氣象局持續發布大雷雨訊息。
氣象局剛才發布雷雨編號0086，針對「基隆市、台北市、新北市、桃園市」發布大雷雨即時訊息，持續時間至20時30分止。中央氣象局持續發布大雷雨訊息。圖/氣象局提供分享  facebook   "
"亞培6產品下架達33萬罐 總公司10日來台爭取上架","/news/story/7266/3356439","亞培「安素」遭投訴變質發臭，後續又爆出安素在內的6款產品8個月來遭投訴629件，因亞培公司無法提出安全證明，遭政府勒令48個小時內全面下架。圖／北市衛生局提供分享  facebook   亞培「安素」遭投訴變質發臭，後續又爆出安素在內的6款產品8個月來遭投訴629件，因亞培公司無法提出安全證明，遭台北市衛生局、食品藥物管理署勒令6款產品昨天下午5點起48個小時內全面下架，北市衛生局表示，6款產品截至下午2時30分，已下架33萬餘罐；亞培美國總公司10日將來台會同台灣分公司說明、提出安全證明爭取重新上架。
前天亞培台灣分公司告知外界今年1到8月有關「原味安素」的投訴案僅6件，強調「少量」產品變質，在北市衛生局介入調查後，才發現投訴案件涵蓋6款鐵罐產品包含亞培原味安素、健力體、普寧勝、腎補納、愛美力HN及管灌安素共629件，當中原味安素就占199件。
衛生局指出，亞培台灣分公司所謂的少量是指1到8月6款產品進貨量209萬罐中，投訴僅629件，比例也較其他國家少，台灣分公司稱都有回報美國總公司，總公司則依內部管理規則認定沒有安全疑慮；但食藥署也認為亞培仍無法提出安全證明，因此勒令6款產品全面下架。
衛生局表示，6款產品主要通路為醫院、藥局、大賣場及網路通路，衛生局已派員監督下架情況；亞培台灣分公司今天回報6款產品下架情況，截至下午2時30分，原味安素已下架23.1萬罐、健力體2.8萬罐、普寧勝3.4萬罐、腎補納3.1萬罐，愛美力HN、管灌安素則分別下架1千、3千多罐；總計33萬1358罐。
衛生局說，據亞培台灣分公司消息，亞培美國總公司已派員飛來台灣，預計10日抵達台北與台灣分公司對質報告並提出安全證明爭取重新上架。
衛生局強調，現階段食藥署已抽驗亞培6款產品，報告最快13日出爐，若無問題才可重新上架，但若發現有害人體健康物質，將複驗確認，若真有問題，也將依照「食安法」應通報未通報開罰亞培3萬到300萬元不等罰鍰；亞培後續若提出安全證明，市府也將提報食藥署確認是否足以證明安全無慮，才可能開放上架。亞培「安素」遭投訴變質發臭，後續又爆出安素在內的6款產品8個月來遭投訴629件，因亞培公司無法提出安全證明，遭政府勒令48個小時內全面下架。圖／北市衛生局提供分享  facebook   亞培「安素」遭投訴變質發臭，後續又爆出安素在內的6款產品8個月來遭投訴629件，因亞培公司無法提出安全證明，遭政府勒令48個小時內全面下架。圖／北市衛生局提供分享  facebook   亞培「安素」遭投訴變質發臭，後續又爆出安素在內的6款產品8個月來遭投訴629件，因亞培公司無法提出安全證明，遭政府勒令48個小時內全面下架。圖／北市衛生局提供分享  facebook   "
"墾丁美麗沙灘怎麼了 遊客驚：變小又變醜","/news/story/7266/3356416","國旅持續下滑，屏東墾丁觀光業今年度過空前蕭條的暑假，沒想到日前熱低氣壓和西南氣流帶來的豪大雨，又讓傲人的美麗沙灘變了樣，驚見沙灘不僅變小也變醜，遊客戲水意願低，水上活動業者大嘆「屋漏偏逢連夜雨」；墾管處說，之前連續10多天的長浪將沙淘走，各沙灘縮小三分之一至一半不等，以後還是會回來。
「墾丁南灣沙灘『縮水』快一半，白砂、大灣、船帆石也差不多！」南灣潘姓水上摩托車教練說，往年都是颱風過境帶來長浪，巨浪長時間侵蝕，造成沙灘「縮水」，還帶來大量漂流木和人為垃圾；這次熱帶低壓和西南氣流為南台灣帶來的豪大雨長達半個月，威力不輸輕度颱風，垃圾很快可以清除，但被巨浪帶走的沙，短時間回不來了。
「沒遇到人氣這麼差的暑假，孩子開學的註冊費都差點繳不出來了！」他說，今年暑假的人氣不到往年一半，8月下半月有長達半個月的大雨壞天氣，因沙灘變小變醜，遊客下海戲水意願 降低，生意慘不忍睹，暑假收入較往年縮水八成；氣象預報極可能是今年威脅最大的山竹颱風下周要來，有如雪上加霜。
「網站上碧海藍天、美麗潔淨的墾丁美麗沙灘，怎麼是這個樣子！」大陸北京來的自由行楊姓遊客，滿懷期待來到洋溢熱帶島嶼風情的墾丁，海邊戲水列為必遊行程，但到南灣沙灘發現沙灘大退縮，知道大雨剛過，卻難掩失望，轉到白砂沙灘，發現也差不多。
墾管處遊憩服務課說，這次熱帶低壓和西南氣流伴隨的西風及西南風讓海浪長驅直入，海浪回退時，連帶將岸上的沙一併帶走，墾丁各遊憩沙灘消失面積從一半至三分之一不等；這只是暫時的自然現象，會隨著時間慢慢恢復原<U+8C8E>。墾丁夏都沙灘酒店旁的大灣沙灘快一半不見了。記者潘欣中／攝影分享  facebook   高人氣的墾丁南灣沙灘消失近一半，今天假日遊客還是稀稀落落。記者潘欣中／攝影分享  facebook   墾丁白砂沙灘大退縮，岸邊大片礁石裸露。記者潘欣中／攝影分享  facebook   "
"亞培變質案預防性下架 首日下架5.7萬罐","/news/story/7266/3356164","北市衛生局要求亞培針對圖中六款商品進行預防性下架。圖／台北市衛生局提供分享  facebook   亞培安素被投訴產品變質，食品藥物管理署與台北市衛生局勒令亞培出問題的6款產品昨天下午5點起應全面下架。根據食藥署截至今天上午10點的統計，亞培安素、普寧勝、腎補納、管灌安素、健力體和愛美力HN目前已經下架5.7萬多罐。
食藥署再次提醒，市面上所有亞培的6款產品，應於明天下午5點以前完成下架，否則最高可開罰10萬元。食藥署食品組簡任技正黃琴喨表示，目前已要求業者每天回報下架數量，截至上午10點為止，已經下架5.7萬罐。根據食藥署與台北市衛生局的數據，亞培的6款產品，1到8月的出貨量為209萬罐。黃琴喨表示，業者須依行政命令，在明天下午5點以前完成下架，無論是網路平台業者，或是一般陳列架，都須符合該規定。"
