"title","link","text"
"該養嗎？拆舊冷氣掉出謎樣生物 網友勸他要三思","/news/story/7470/3351519","網友拆舊除冷氣，結果掉出一隻眼睛還未張開的小松鼠。圖截自爆料公社分享  facebook   網友拆舊除冷氣，結果掉出一隻眼睛還未張開的小松鼠。圖截自爆料公社分享  facebook   舊冷氣因為年代久遠，拆除時難免會掉出一些東西，但一名男網友在拆舊冷氣時居然掉出一謎樣生物，讓他一時不知所措。網友將此生物捧在手心上，兩眼都還沒開，結果仔細一看居然是隻小松鼠，網友立刻上網求救，問大家他應該如何處理。

一名林姓網友昨（5日）在《爆料公社》表示前一天將舊的冷氣拆除，一早要去上班前，發現有隻謎樣的生物掉出，仔細一看才發現是隻小松鼠。過了一段時間，這位網友再次PO文表示餵食完先前撿到的小松鼠後，他決定要自行豢養，結果過不久，他又聽到舊冷氣那傳出叫聲，往前查看發現還有另一隻小松鼠，讓網友驚呼：這算是命運嗎？

許多網友看到原PO貼松鼠的照片都直呼可愛，但有網友就質疑可以養松鼠嗎？根據PTT一名養過松鼠的網友分享，養松鼠前必定要考慮自身與家庭狀況。他表示松鼠的指甲銳利，若沒定期修剪，容易將飼主抓的遍體鱗傷，而且松鼠的牙齒也很尖銳，牠們有時會透過「啃咬」來表達友好，但牠們一咬就足以讓飼主見血。

另外，這名曾養過松鼠的網友表示，咬東西本來就是松鼠的天性，所以這方面很難教化，他的松鼠甚至還咬過家中祖先牌位，加上部分松鼠地域性很強，未必跟每個人都很友好，所以飼主的家人可能會遭受攻擊，以上種種原因，這名網友奉勸大家，養松鼠前必定要三思。

圖截自爆料公社分享  facebook   


"
"李富城警告下周雙颱非常危險 引發氣象專家激辯","/news/story/7266/3352079","中央氣象局表示，菲律賓海面低氣壓未來不排除發展為颱風。圖／翻攝自中央氣象局網站分享  facebook   
時序進入秋天，也是秋颱好發生成的季節，前氣象主播李富城在臉書上發文警告，「九月的颱風特別凶悍，而下週將有兩個颱風生成，請大家注意。」他表示22、23號颱風是個「非常危險的颱風」，太平洋高壓一直伸展過來、往西走，至於怎麼走法，要等接近台灣附近再講，總之12號會有颱風生成。

然而據自由時報的報導指出，氣象專家吳德榮對李富城的說法相當不以為然，他質疑李「不知道他如何得出這樣的結論」，更直言說李曾講過的話可信度有多高，如果覺得不信，就當作不存在就好了。

吳德榮今天在《洩天機教室》專欄中提到，最新歐洲（ECMWF）及美國（NCEP GFS）模式，第10天（15日20時）的模擬皆顯示，熱帶擾動已行進至台灣東側不遠處，但不可避免的有極大的誤差（不確定性）存在，會持續調整。

中央氣象局預報中心主任呂國臣也認為，雖然有些電腦模擬顯示會有颱風生成，但隨著時間拉長會有更高的不確定性，有些甚至連雲都還沒長出來，呼籲民眾不必過度驚慌。

天氣風險公司總經理彭啟明則在臉書指出，如果最近有颱風生成，要特別留意和東北風形成的共伴效應，當然不是說每個颱風都會和東北風合流，但整個天氣系統會變得較複雜，即便颱風沒來，仍要注意強降雨。
"
"買驗孕棒巧遇男友前任 現任神報復：她的臉比倫敦鐵橋還垮！","/news/story/7272/3352621","女子和男友到超商買驗孕棒，巧遇男友前任，她一秒神回應氣壞前任。圖／ingimage。分享  facebook   

感情世界裡最怕遇到愛糾纏、怎麼也趕不走的前任，一名女子日前在「Dcard」社交平台上一吐為快，分享在便利商店購買驗孕棒時巧遇男友的前女友，一場「烏龍事件」讓她藉機報復前任，直呼「看到她氣到臉比倫敦鐵橋還垮，真是爽死了！」

女子5日和男友一起回她家吃飯，途中受姐姐所託幫忙買驗孕棒。她解釋，「姐姐結婚很久了，家裡一直盼望金孫報到，最近姐姐懷孕兩個月了，想要演一齣戲當場驗孕給媽媽驚喜！」因此，她與男友在附近隨便找一間超商買驗孕棒和飲料回家。才剛走出商店，女子便拿著驗孕棒拍照和姐姐確認，此時她男友的前任竟恰巧從對面走來，一臉驚恐看著女子手上的驗孕棒，問道：「你們有小孩了？」

原PO靈機一動秒回：「對阿！訂婚再請妳來吃飯」，對方的臉瞬間垮掉，女子神報復男友的前任。她也補充說明前女友種種離譜行徑，「她之前一天到晚和男友哭說失戀，找我男友陪她喝酒，男友拒絕封鎖她，竟然還用公共電話打來，甚至曾試圖要求我和男友分手。」

對此，許多網友紛紛讚聲「好爽，笑到快瘋掉」，直呼原PO反應有夠快，還有人要她表現地再誇張一點，「躺在男友懷裡說：『寶貝我好不舒服，趕快回家了』，然後對那女的笑」、「拿姐姐的超音波圖給她看，然後請她不要用那麼驚訝的臉面對妳，會嚇到寶寶」。
"
"空汙排名出爐！北市居六都最佳 台中首度擠進前十","/news/story/7266/3353040","中興大學環工系教授莊秉潔，公布今年上半年台灣空污地圖，六都空氣品質最佳由台北市奪冠，桃園市、新北市、台中市緊追，排名皆在全台前十，唯獨台南市與高雄市仍敬陪末座，在全台縣市中位居第19、20名。
莊秉潔根據環保署觀測站數據統計，發現台中市空氣品質進步幅度最大，較去年躍進3名，近6年來首度成功擠進前10名行列。莊秉潔在臉書表示，台中今年的空氣品質，已比新竹縣及苗栗好了。此外，台北與新北也分別進步了2名，分別為第6名與第8名，桃園則退步1名位居第7名。
莊秉潔觀察上半年的空汙地圖，發現最大差異在新竹縣及苗栗縣空氣品質不僅退步，更是六年以來，第一次新竹山線及苗栗的空氣品質明顯不如台中市區。新竹縣連續四年退步，今年更較去年掉了4個名次，新竹市也退步了2名，從第7名掉到第9名。
其他空氣品質明顯退步縣市，有整整較去年退步6名的彰化縣、退步4名的連江縣等。
●2018全台縣市空汙完整排名如下，括號內為較2017名次增減：
第1名：台東縣　（持平）
第2名：宜蘭縣　（進步1名）
第3名：基隆市　（進步1名）
第4名：花蓮縣　（進步1名）
第5名：澎湖縣　（退步3名）
第6名：台北市　（進步2名）
第7名：桃園市　（退步1名）
第8名：新北市　（進步2名）
第9名：新竹市　（退步2名）
第10名：台中市　（進步3名）
第11名：屏東縣　（進步3名）
第12名：苗栗縣　（退步1名）
第13名：新竹縣　（退步4名）
第14名：雲林縣　（進步2名）
第15名：金門縣　（進步3名）
第16名：連江縣　（退步4名）
第17名：嘉義縣　（持平）
第18名：南投縣　（進步3名）
第19名：台南市　（持平）
第20名：高雄市　（持平）
第21名：彰化縣　（退步6名）
第22名：嘉義市　（持平）中興大學環工系教授莊秉潔公布的2018上半年空汙地圖。圖／截取自莊秉潔臉書分享  facebook   中興大學環工系教授莊秉潔公布的2018上半年空汙地圖。圖／截取自莊秉潔臉書分享  facebook   中興大學環工系教授莊秉潔公布的2018上半年全台縣市空汙排名。圖／截取自莊秉潔臉書分享  facebook   根據空污地圖，六都空氣品質最佳由台北市奪冠。圖／報系資料照分享  facebook   "
"不只是安素變質 亞培這些產品也全面退換貨","/news/story/7266/3353116","亞培再度發布聲明指出，少量批號中的亞培原味安素、普寧勝、腎補納、管灌安素、健力體和愛美力HN等鐵罐產品，有質地一質性的問題在台灣發生。若客戶或消費者手上相關產品，一律接受產品更換或退貨。

亞培聲明指出：
我們得知有少量批號中的亞培原味安素、普寧勝、腎補納、管灌安素、健力體和愛美力HN等鐵罐產品，有質地一質性的問題在台灣發生。提供最高品質產品給予客戶，一直是我們優先考量，因此針對此現象，我們正在進行徹底的審查。
根據目前的發現，飲用該產品對於病患或是消費者構成嚴重健康危害風險可能性非常低。如同我們總是努力提供完整的消費者滿意度，若客戶或消費者手上有凝結的罐裝產品，請聯繫台灣亞培消費者服務電話0800-036-688，我們將立即為您處理產品更換或退貨相關事宜。

知名營養補充品亞培安素傳出變質情形。 圖摘自亞培官網分享  facebook   "
"周六變天！ 一張圖看懂未來一周天氣變化","/news/story/7266/3352214","中央氣象局官方臉書「報天氣 - 中央氣象局」說，周六至周日將有入秋第一道鋒面及東北風增強影響，北部及東北部的民眾要注意有局部大雨或豪雨發生的機率，且氣溫下降，早晚稍感涼意；其他地區也有短暫下雨的機率。
另外，東北風增強，台灣沿海地區及澎湖、金門、馬祖將有強陣風出現。
下周一起，菲律賓東方的低壓帶內可能有發展中熱帶擾動往巴士海峽附近靠近，台灣附近水氣多，易降雨。周六至周日將有入秋第一道鋒面及東北風增強影響，北部及東北部的民眾要注意有局部大雨或豪雨發生的機率，且氣溫下降，早晚稍感涼意；其他地區也有短暫下雨的機率。圖／翻攝自臉書「報天氣 - 中央氣象局」分享  facebook   "
"曾文水庫長高3公尺 增半座南化水庫水量","/news/story/7266/3351321","曾文水庫滿水位增高3公尺，可增加約半座南化水庫的蓄水量。 圖／南水局提供分享  facebook   
啟用近半世紀的曾文水庫，滿水位在蓄水四十五年後，自二二七公尺「長高」了三公尺，昨天蓄水首度達到二三○公尺滿水位；別小看這三公尺蓄水量，相當於半座南化水庫，對常鬧水荒的南部是帖大補丸；為增高這三公尺，花了十年時間。
曾文水庫庫底淤積嚴重，多年來雖不斷加強清淤，但陸運清淤、抽砂船抽砂，再加上防淤隧道排砂，都趕不上一年平均五百六十萬立方公尺的淤積量，蓄水量日減，偏偏南部地區在枯水期又常鬧水荒。

如何增加曾文水庫蓄水量？「與其往底部清淤，不如往上發展。」南水局副局長鄒漢貴表示，經濟部水利署在十年前核准水庫「蓄升」計畫，將大壩的心層（不透水黏土層）加高，雖然隔年六月即完工，但一直沒啟用。
原因是完工兩個月後遇上莫拉克颱風，曾文水庫一下子淤積了九千多萬立方公尺，南化水庫也淤積一千七百多萬立方公尺，兩個水庫一共淤積了一億多萬立方公尺，等於少了一座南化水庫的水量。
「一定要把南化水庫再『找回來』！」鄒漢貴說，莫拉克後，曾文蓄升計畫重啟，持續進行大壩不透水心層加高工程，滿水位加高，涉及大壩能否承受水壓等結構安全，以及是否會滲水等問題。

中央和地方不敢輕忽，合組水庫評估小組進行安全性檢測，一直到今年八月水利署才核准通過滿水位「增高」三公尺，是國內大型水庫首例。
但外界還是擔心蓄水加高三公尺，大壩是否會有安全風險？鄒漢貴說，最怕的是壩體滲水，但不會像外界想得嚴重，因曾文水庫是土石壩，由八百多萬立方公尺土石一層一層堆砌而成，會越壓越緊實，滿水位長高三公尺，對大壩的壓力每平方公分只多了零點三公斤，影響不是很大。
外界也好奇，全台有多處水庫都有淤積問題，曾文水庫滿水位「長高」的經驗，可以複製到所有水庫嗎？
鄒漢貴說，這要從效益、施工條件和水庫特性評估，像曾文水庫增加三公尺就可增加五千五百萬立方公尺蓄水，但其他小水庫可能增加不多；另外也要有水源引入。
此外，像石門水庫位在北部，幾乎全年都有雨，壩堤一旦掀開施工，心層要乾了才能壓實，萬一未完工就下雨，反會危及大壩安全。另像南化水庫必須將大壩再（不只心層）加高，在環保意識高漲下，民意就很難通過，且南化水庫是自然溢洪，水位達一百八十公尺就會流掉，還要加高溢洪孔，因每座水庫特性不同，不能一概而論。
"
"「不要亂給家用」呂秋遠給年輕人的10不","/news/story/7266/3352140","律師呂秋遠提醒年輕人，不要拋棄夢想。遇到瓶頸的時候，逃避就好，不用急著放棄，過一陣子以後，或許瓶頸就會不見了。熄火，有時候是為了加油，別以為車子壞了。圖／擷自呂秋遠臉書分享  facebook   律師呂秋遠在臉書貼文，給剛出社會年輕人10項「不要」，包括不作保、不棄守勞基法、不隨便簽契約、不接觸毒品、不要個性衝動等與法律相關的提醒，他也說，不要亂給家用、不要輕易結婚、不要急著買房、不要放棄善良，最後是「不要拋棄夢想」，他說，遇到瓶頸的時候，逃避就好，不用急著放棄。熄火，有時候是為了加油，別以為車子壞了。
呂秋遠說，在這個「不一定買得起靈骨塔，但肯定買不起房子」的時代，做人實在很辛苦。對於剛出社會的人來說，江湖在走，風險常有，有家長希望可以給這些年輕人一些跟法律相關的建議，我的想法是這樣的：
1.不要作保，特別是連帶保證：很多人會因為人情或是其他原因替別人擔保。基本上，一旦作保人，就是要承擔債務的保證責任，如果是連帶保證，甚至地位等同於債務人。沒拿到錢，卻要承擔還款的責任，就算是父母或密友，寧願借錢，也不要作保。至少借別人錢時，還知道自己有沒有能力，但是作保，總是會在還銀行錢時，才知道自己原來沒能力。
2.不要棄守勞基法：勞基法只有最低的勞工權益保障，如果雇主連這點基本保障都做不到，請一定要離職，因為這家公司不會有前途。如果自己是老闆，那麼只能要求自己廢寢忘食，不該要求員工勇往直前。不要以為忍耐可以解決問題，那只會讓你自己忍耐過久以後，變成習慣。
3.不要亂給家用：這世界上，最重要的只有自己。即便家人需要幫忙，那也是在自己有能力以後再來處理。所以當有人告訴你「XX幫你存起來」，或「要是你不幫忙，他就死定了」，你也只能愛莫能助。家人需要你，但是你死了，一切就沒意義了。請優先保護自己，不要屈服於情緒勒索。
4.不要輕易結婚：結婚是嚴肅的契約，要解約不容易。如果對於這份契約有任何質疑，那就先想想再決定。這份契約延伸出來的議題，至少有夫妻忠誠義務、扶養義務與財產分配，如果沒想清楚，外遇、扶養對方、分財產等等，會讓自己懷疑當時腦袋的水應該進不少。
5.不要隨便簽契約：契約是民法非常尊重的玩意兒，要撤銷或解除契約並不容易。不論任何契約，如果不懂就不要簽名，尤其當對方用鉛筆圈出你可以簽字的地方，要你放棄審閱期、不用特別看條文，就更應該帶回家慢慢看。現在律師很多，多想三分鐘，人生更美好。
6.不要接觸與毒品有關的人與事：毒品真的很難戒除，不要以為意志力可以克服一切，而且對於身體的永久性傷害很大。你不能改變別人，唯一能改變的只有自己，所以盡量不要接觸這些事物。
7.不要急著買房子：好啦，其實反正也買不起。但是你知道我的意思的。
8.不要個性衝動：誹謗罪、公然侮辱罪、傷害罪、強制罪，都是一般人不小心就會觸犯的法律。遇到衝突場面的時候，可以多想幾分鐘以後再出口或出手，不要因為要逞一時之快，所以急著說什麼或做什麼。
9.不要放棄善良：如果有人傷害你，那是他的錯，不是你的。保持善良的心態去做所有的事情，當自己對於要不要做這件事有傷害別人的疑慮，那就不要做。不過，如果真有人欺壓自己，做人也不必這麼卑微，不用以德報怨，只要以直報怨就可以。
10.不要拋棄夢想：現實很讓人沮喪，但是活著就會有出口，認真的想出自己可以做的興趣，遇到瓶頸的時候，逃避就好，不用急著放棄，過一陣子以後，或許瓶頸就會不見了。熄火，有時候是為了加油，別以為車子壞了。"
"高雄旗津出現首起登革熱群聚感染 出入輪渡站要量體溫","/news/story/7266/3353034","
高雄市旗津區出現今年第一起登革熱群聚感染！衛生局6日發布第5例登革熱本土案例，該案為家住小港區店鎮里的50歲男性，與第4案同在旗津工作，4日首次快篩時為陰性，旦5日出現發燒、腹瀉、紅疹、肌肉酸痛等症狀，就醫再次快篩已呈陽性，昨經中央確診。
衛生局表示，第5例近期沒有出國史，又與第5例是同事，有工作地緣關係，經抽血採檢均屬登革熱第三型，研判屬工作地群聚感染。目前兩人都住院隔離中。防疫團隊已在第一時間緊急動員，在疫情發生地周圍展開孳生源檢查及噴藥滅蚊，嚴防疫情次波蔓延。
由於兩人工作地緊鄰旗津中洲輪渡站，該處是居民每天上班上學必經的重大交通點，為避免登革熱病毒經人群與市區交叉感染，7日起防疫人員將於上午6點至9點交通尖峰期，在輪渡站為搭船前往市區的民眾進行體溫量測，一有疑似症狀，就後送旗津醫院快篩隔離至檢驗報告出爐，一旦確診，將頒發確診獎金2500元。
衛生局說，防疫團隊近幾天在旗津區中洲里進行病媒調查129戶，在其中31戶發現許多積水容器都已孳生孑孓；病媒監測人員勘查旗津中洲輪渡站旁環境髒亂點，更找到不少棄置輪胎積水且已孳生病媒蚊幼蟲，環境中傳播登革熱病毒的風險極高，提醒居民若出現疑似症狀應盡速就醫，避免疫情擴散。高雄市旗津出現兩起本土登革熱群聚疫情，因緊鄰中洲輪渡站，人潮出入眾多，為避免病毒與市區交叉感染，防疫人員7日將於上班上學尖峰時間駐點為民眾量測體溫。圖／高雄市衛生局提供分享  facebook   高雄市旗津出現兩起本土登革熱群聚疫情，因緊鄰中洲輪渡站，人潮出入眾多，為避免病毒與市區交叉感染，防疫人員7日將於上班上學尖峰時間駐點為民眾量測體溫。圖／高雄市衛生局提供分享  facebook   "
"氣象局：低氣壓恐成颱 北部周末防大雨","/news/story/7266/3351870","中央氣象局預報員張承傳今天表示，菲律賓海面附近有低氣壓，不排除未來增強為颱風，並在北移過程中與鋒面、東北風交互作用，北部、東北部周末兩天可能會有較大雨勢，氣象局將密切觀察。
張承傳說，目前菲律賓附近有一個低氣壓，資料顯示路徑將慢慢北上並逐漸增強， 但目前模式仍有分歧，有模式認為會增強為颱風，也有模式認為不會。
張承傳說，低氣壓北移過程中帶來水氣，加上北部周末有鋒面經過，水氣與東北風兩者可能互相交互作用，北部、東北部周末要防範雨勢，低氣壓增強程度愈大，雨勢就會愈大。
另外，太平洋遙遠位置還有一個熱帶性低氣壓在發展，往西移動，目前認為增強為颱風機率較大，但離台灣還很遙遠，要等到下周情況才會明朗。中央氣象局表示，菲律賓海面低氣壓未來不排除發展為颱風。圖／翻攝自中央氣象局網站分享  facebook   "
